period,keyword,avg_hits,pct_zero,max_hit,n_obs
2015-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-04-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-05-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-06-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-07-01,double disc court + ddc frisbee + escape frisbee,52,0,52,1
2015-08-01,double disc court + ddc frisbee + escape frisbee,55,0,55,1
2015-09-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-10-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2015-11-01,double disc court + ddc frisbee + escape frisbee,55,0,55,1
2015-12-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-02-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-04-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-05-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-06-01,double disc court + ddc frisbee + escape frisbee,45,0,45,1
2016-07-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-08-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-09-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-10-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-11-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2016-12-01,double disc court + ddc frisbee + escape frisbee,44,0,44,1
2017-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-02-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-04-01,double disc court + ddc frisbee + escape frisbee,49,0,49,1
2017-05-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-06-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-07-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-08-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-09-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-10-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2017-11-01,double disc court + ddc frisbee + escape frisbee,42,0,42,1
2017-12-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-02-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-04-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-05-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-06-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-07-01,double disc court + ddc frisbee + escape frisbee,39,0,39,1
2018-08-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-09-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-10-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-11-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2018-12-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-02-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-04-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-05-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-06-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-07-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-08-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-09-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-10-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-11-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2019-12-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2020-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2020-02-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2020-03-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2020-04-01,double disc court + ddc frisbee + escape frisbee,0,1,0,1
2020-05-01,double disc court + ddc frisbee + escape frisbee,45,0,45,1
