period,keyword,avg_hits,pct_zero,max_hit,n_obs
2015-03-01,ultimate frisbee,72,0,72,1
2015-04-01,ultimate frisbee,92,0,92,1
2015-05-01,ultimate frisbee,100,0,100,1
2015-06-01,ultimate frisbee,78,0,78,1
2015-07-01,ultimate frisbee,78,0,78,1
2015-08-01,ultimate frisbee,87,0,87,1
2015-09-01,ultimate frisbee,84,0,84,1
2015-10-01,ultimate frisbee,76,0,76,1
2015-11-01,ultimate frisbee,60,0,60,1
2015-12-01,ultimate frisbee,47,0,47,1
2016-01-01,ultimate frisbee,47,0,47,1
2016-02-01,ultimate frisbee,60,0,60,1
2016-03-01,ultimate frisbee,65,0,65,1
2016-04-01,ultimate frisbee,74,0,74,1
2016-05-01,ultimate frisbee,89,0,89,1
2016-06-01,ultimate frisbee,76,0,76,1
2016-07-01,ultimate frisbee,60,0,60,1
2016-08-01,ultimate frisbee,63,0,63,1
2016-09-01,ultimate frisbee,76,0,76,1
2016-10-01,ultimate frisbee,65,0,65,1
2016-11-01,ultimate frisbee,50,0,50,1
2016-12-01,ultimate frisbee,38,0,38,1
2017-01-01,ultimate frisbee,43,0,43,1
2017-02-01,ultimate frisbee,58,0,58,1
2017-03-01,ultimate frisbee,58,0,58,1
2017-04-01,ultimate frisbee,68,0,68,1
2017-05-01,ultimate frisbee,79,0,79,1
2017-06-01,ultimate frisbee,67,0,67,1
2017-07-01,ultimate frisbee,58,0,58,1
2017-08-01,ultimate frisbee,67,0,67,1
2017-09-01,ultimate frisbee,69,0,69,1
2017-10-01,ultimate frisbee,61,0,61,1
2017-11-01,ultimate frisbee,53,0,53,1
2017-12-01,ultimate frisbee,37,0,37,1
2018-01-01,ultimate frisbee,45,0,45,1
2018-02-01,ultimate frisbee,52,0,52,1
2018-03-01,ultimate frisbee,51,0,51,1
2018-04-01,ultimate frisbee,64,0,64,1
2018-05-01,ultimate frisbee,76,0,76,1
2018-06-01,ultimate frisbee,60,0,60,1
2018-07-01,ultimate frisbee,57,0,57,1
2018-08-01,ultimate frisbee,55,0,55,1
2018-09-01,ultimate frisbee,64,0,64,1
2018-10-01,ultimate frisbee,58,0,58,1
2018-11-01,ultimate frisbee,44,0,44,1
2018-12-01,ultimate frisbee,32,0,32,1
2019-01-01,ultimate frisbee,39,0,39,1
2019-02-01,ultimate frisbee,46,0,46,1
2019-03-01,ultimate frisbee,56,0,56,1
2019-04-01,ultimate frisbee,58,0,58,1
2019-05-01,ultimate frisbee,69,0,69,1
2019-06-01,ultimate frisbee,58,0,58,1
2019-07-01,ultimate frisbee,55,0,55,1
2019-08-01,ultimate frisbee,53,0,53,1
2019-09-01,ultimate frisbee,61,0,61,1
2019-10-01,ultimate frisbee,57,0,57,1
2019-11-01,ultimate frisbee,45,0,45,1
2019-12-01,ultimate frisbee,34,0,34,1
2020-01-01,ultimate frisbee,37,0,37,1
2020-02-01,ultimate frisbee,44,0,44,1
2020-03-01,ultimate frisbee,45,0,45,1
2020-04-01,ultimate frisbee,35,0,35,1
2020-05-01,ultimate frisbee,37,0,37,1
2020-06-01,ultimate frisbee,34,0,34,1
2020-07-01,ultimate frisbee,29,0,29,1
2020-08-01,ultimate frisbee,32,0,32,1
2020-09-01,ultimate frisbee,43,0,43,1
2020-10-01,ultimate frisbee,36,0,36,1
2020-11-01,ultimate frisbee,29,0,29,1
2020-12-01,ultimate frisbee,22,0,22,1
2021-01-01,ultimate frisbee,22,0,22,1
2021-02-01,ultimate frisbee,26,0,26,1
2021-03-01,ultimate frisbee,34,0,34,1
2021-04-01,ultimate frisbee,38,0,38,1
2021-05-01,ultimate frisbee,43,0,43,1
2021-06-01,ultimate frisbee,41,0,41,1
2021-07-01,ultimate frisbee,36,0,36,1
2021-08-01,ultimate frisbee,36,0,36,1
2021-09-01,ultimate frisbee,44,0,44,1
2021-10-01,ultimate frisbee,44,0,44,1
2021-11-01,ultimate frisbee,35,0,35,1
2021-12-01,ultimate frisbee,29,0,29,1
2022-01-01,ultimate frisbee,28,0,28,1
2022-02-01,ultimate frisbee,38,0,38,1
2022-03-01,ultimate frisbee,43,0,43,1
2022-04-01,ultimate frisbee,58,0,58,1
2022-05-01,ultimate frisbee,72,0,72,1
2022-06-01,ultimate frisbee,47,0,47,1
2022-07-01,ultimate frisbee,46,0,46,1
2022-08-01,ultimate frisbee,47,0,47,1
2022-09-01,ultimate frisbee,55,0,55,1
2022-10-01,ultimate frisbee,49,0,49,1
2022-11-01,ultimate frisbee,37,0,37,1
2022-12-01,ultimate frisbee,29,0,29,1
2023-01-01,ultimate frisbee,37,0,37,1
2023-02-01,ultimate frisbee,40,0,40,1
2023-03-01,ultimate frisbee,45,0,45,1
2023-04-01,ultimate frisbee,53,0,53,1
2023-05-01,ultimate frisbee,66,0,66,1
2023-06-01,ultimate frisbee,50,0,50,1
2023-07-01,ultimate frisbee,43,0,43,1
2023-08-01,ultimate frisbee,43,0,43,1
2023-09-01,ultimate frisbee,51,0,51,1
2023-10-01,ultimate frisbee,47,0,47,1
2023-11-01,ultimate frisbee,38,0,38,1
2023-12-01,ultimate frisbee,30,0,30,1
2024-01-01,ultimate frisbee,38,0,38,1
2024-02-01,ultimate frisbee,45,0,45,1
2024-03-01,ultimate frisbee,49,0,49,1
2024-04-01,ultimate frisbee,59,0,59,1
2024-05-01,ultimate frisbee,67,0,67,1
2024-06-01,ultimate frisbee,51,0,51,1
2024-07-01,ultimate frisbee,46,0,46,1
2024-08-01,ultimate frisbee,46,0,46,1
2024-09-01,ultimate frisbee,62,0,62,1
2024-10-01,ultimate frisbee,50,0,50,1
2024-11-01,ultimate frisbee,42,0,42,1
2024-12-01,ultimate frisbee,31,0,31,1
2025-01-01,ultimate frisbee,36,0,36,1
2025-02-01,ultimate frisbee,44,0,44,1
2025-03-01,ultimate frisbee,51,0,51,1
2025-04-01,ultimate frisbee,55,0,55,1
2025-05-01,ultimate frisbee,63,0,63,1
2025-06-01,ultimate frisbee,56,0,56,1
2025-07-01,ultimate frisbee,47,0,47,1
2025-08-01,ultimate frisbee,57,0,57,1
2025-09-01,ultimate frisbee,57,0,57,1
2025-10-01,ultimate frisbee,53,0,53,1
