date,keyword,hits
2015-03-01,beach ultimate,41
2015-04-01,beach ultimate,28
2015-05-01,beach ultimate,27
2015-06-01,beach ultimate,30
2015-07-01,beach ultimate,37
2015-08-01,beach ultimate,31
2015-09-01,beach ultimate,26
2015-10-01,beach ultimate,19
2015-11-01,beach ultimate,20
2015-12-01,beach ultimate,21
2016-01-01,beach ultimate,23
2016-02-01,beach ultimate,23
2016-03-01,beach ultimate,25
2016-04-01,beach ultimate,23
2016-05-01,beach ultimate,26
2016-06-01,beach ultimate,29
2016-07-01,beach ultimate,29
2016-08-01,beach ultimate,26
2016-09-01,beach ultimate,21
2016-10-01,beach ultimate,18
2016-11-01,beach ultimate,16
2016-12-01,beach ultimate,19
2017-01-01,beach ultimate,22
2017-02-01,beach ultimate,21
2017-03-01,beach ultimate,24
2017-04-01,beach ultimate,26
2017-05-01,beach ultimate,26
2017-06-01,beach ultimate,38
2017-07-01,beach ultimate,28
2017-08-01,beach ultimate,22
2017-09-01,beach ultimate,18
2017-10-01,beach ultimate,18
2017-11-01,beach ultimate,18
2017-12-01,beach ultimate,20
2018-01-01,beach ultimate,21
2018-02-01,beach ultimate,19
2018-03-01,beach ultimate,21
2018-04-01,beach ultimate,20
2018-05-01,beach ultimate,22
2018-06-01,beach ultimate,25
2018-07-01,beach ultimate,30
2018-08-01,beach ultimate,24
2018-09-01,beach ultimate,17
2018-10-01,beach ultimate,17
2018-11-01,beach ultimate,17
2018-12-01,beach ultimate,20
2019-01-01,beach ultimate,18
2019-02-01,beach ultimate,17
2019-03-01,beach ultimate,19
2019-04-01,beach ultimate,19
2019-05-01,beach ultimate,21
2019-06-01,beach ultimate,23
2019-07-01,beach ultimate,24
2019-08-01,beach ultimate,20
2019-09-01,beach ultimate,15
2019-10-01,beach ultimate,15
2019-11-01,beach ultimate,16
2019-12-01,beach ultimate,17
2020-01-01,beach ultimate,20
2020-02-01,beach ultimate,16
2020-03-01,beach ultimate,15
2020-04-01,beach ultimate,13
2020-05-01,beach ultimate,19
2020-06-01,beach ultimate,21
2020-07-01,beach ultimate,20
2020-08-01,beach ultimate,16
2020-09-01,beach ultimate,14
2020-10-01,beach ultimate,14
2020-11-01,beach ultimate,14
2020-12-01,beach ultimate,15
2021-01-01,beach ultimate,16
2021-02-01,beach ultimate,14
2021-03-01,beach ultimate,15
2021-04-01,beach ultimate,15
2021-05-01,beach ultimate,16
2021-06-01,beach ultimate,20
2021-07-01,beach ultimate,21
2021-08-01,beach ultimate,15
2021-09-01,beach ultimate,14
2021-10-01,beach ultimate,13
2021-11-01,beach ultimate,15
2021-12-01,beach ultimate,14
2022-01-01,beach ultimate,17
2022-02-01,beach ultimate,15
2022-03-01,beach ultimate,16
2022-04-01,beach ultimate,17
2022-05-01,beach ultimate,17
2022-06-01,beach ultimate,18
2022-07-01,beach ultimate,21
2022-08-01,beach ultimate,17
2022-09-01,beach ultimate,15
2022-10-01,beach ultimate,13
2022-11-01,beach ultimate,14
2022-12-01,beach ultimate,14
2023-01-01,beach ultimate,16
2023-02-01,beach ultimate,14
2023-03-01,beach ultimate,14
2023-04-01,beach ultimate,14
2023-05-01,beach ultimate,15
2023-06-01,beach ultimate,17
2023-07-01,beach ultimate,20
2023-08-01,beach ultimate,17
2023-09-01,beach ultimate,15
2023-10-01,beach ultimate,14
2023-11-01,beach ultimate,18
2023-12-01,beach ultimate,15
2024-01-01,beach ultimate,15
2024-02-01,beach ultimate,14
2024-03-01,beach ultimate,17
2024-04-01,beach ultimate,16
2024-05-01,beach ultimate,17
2024-06-01,beach ultimate,20
2024-07-01,beach ultimate,21
2024-08-01,beach ultimate,17
2024-09-01,beach ultimate,16
2024-10-01,beach ultimate,17
2024-11-01,beach ultimate,17
2024-12-01,beach ultimate,17
2025-01-01,beach ultimate,18
2025-02-01,beach ultimate,17
2025-03-01,beach ultimate,19
2025-04-01,beach ultimate,16
2025-05-01,beach ultimate,21
2025-06-01,beach ultimate,22
2025-07-01,beach ultimate,38
2025-08-01,beach ultimate,100
2025-09-01,beach ultimate,90
2025-10-01,beach ultimate,70
2025-11-01,beach ultimate,75
2025-12-01,beach ultimate,74
2026-01-01,beach ultimate,77
2026-02-01,beach ultimate,85
2026-03-01,beach ultimate,33
