date,keyword,hits
2015-03-01,double disc court + ddc frisbee + escape frisbee,0
2015-04-01,double disc court + ddc frisbee + escape frisbee,0
2015-05-01,double disc court + ddc frisbee + escape frisbee,0
2015-06-01,double disc court + ddc frisbee + escape frisbee,0
2015-07-01,double disc court + ddc frisbee + escape frisbee,52
2015-08-01,double disc court + ddc frisbee + escape frisbee,55
2015-09-01,double disc court + ddc frisbee + escape frisbee,0
2015-10-01,double disc court + ddc frisbee + escape frisbee,0
2015-11-01,double disc court + ddc frisbee + escape frisbee,55
2015-12-01,double disc court + ddc frisbee + escape frisbee,0
2016-01-01,double disc court + ddc frisbee + escape frisbee,0
2016-02-01,double disc court + ddc frisbee + escape frisbee,0
2016-03-01,double disc court + ddc frisbee + escape frisbee,0
2016-04-01,double disc court + ddc frisbee + escape frisbee,0
2016-05-01,double disc court + ddc frisbee + escape frisbee,0
2016-06-01,double disc court + ddc frisbee + escape frisbee,45
2016-07-01,double disc court + ddc frisbee + escape frisbee,0
2016-08-01,double disc court + ddc frisbee + escape frisbee,0
2016-09-01,double disc court + ddc frisbee + escape frisbee,0
2016-10-01,double disc court + ddc frisbee + escape frisbee,0
2016-11-01,double disc court + ddc frisbee + escape frisbee,0
2016-12-01,double disc court + ddc frisbee + escape frisbee,44
2017-01-01,double disc court + ddc frisbee + escape frisbee,0
2017-02-01,double disc court + ddc frisbee + escape frisbee,0
2017-03-01,double disc court + ddc frisbee + escape frisbee,0
2017-04-01,double disc court + ddc frisbee + escape frisbee,49
2017-05-01,double disc court + ddc frisbee + escape frisbee,0
2017-06-01,double disc court + ddc frisbee + escape frisbee,0
2017-07-01,double disc court + ddc frisbee + escape frisbee,0
2017-08-01,double disc court + ddc frisbee + escape frisbee,0
2017-09-01,double disc court + ddc frisbee + escape frisbee,0
2017-10-01,double disc court + ddc frisbee + escape frisbee,0
2017-11-01,double disc court + ddc frisbee + escape frisbee,42
2017-12-01,double disc court + ddc frisbee + escape frisbee,0
2018-01-01,double disc court + ddc frisbee + escape frisbee,0
2018-02-01,double disc court + ddc frisbee + escape frisbee,0
2018-03-01,double disc court + ddc frisbee + escape frisbee,0
2018-04-01,double disc court + ddc frisbee + escape frisbee,0
2018-05-01,double disc court + ddc frisbee + escape frisbee,0
2018-06-01,double disc court + ddc frisbee + escape frisbee,0
2018-07-01,double disc court + ddc frisbee + escape frisbee,39
2018-08-01,double disc court + ddc frisbee + escape frisbee,0
2018-09-01,double disc court + ddc frisbee + escape frisbee,0
2018-10-01,double disc court + ddc frisbee + escape frisbee,0
2018-11-01,double disc court + ddc frisbee + escape frisbee,0
2018-12-01,double disc court + ddc frisbee + escape frisbee,0
2019-01-01,double disc court + ddc frisbee + escape frisbee,0
2019-02-01,double disc court + ddc frisbee + escape frisbee,0
2019-03-01,double disc court + ddc frisbee + escape frisbee,0
2019-04-01,double disc court + ddc frisbee + escape frisbee,0
2019-05-01,double disc court + ddc frisbee + escape frisbee,0
2019-06-01,double disc court + ddc frisbee + escape frisbee,0
2019-07-01,double disc court + ddc frisbee + escape frisbee,0
2019-08-01,double disc court + ddc frisbee + escape frisbee,0
2019-09-01,double disc court + ddc frisbee + escape frisbee,0
2019-10-01,double disc court + ddc frisbee + escape frisbee,0
2019-11-01,double disc court + ddc frisbee + escape frisbee,0
2019-12-01,double disc court + ddc frisbee + escape frisbee,0
2020-01-01,double disc court + ddc frisbee + escape frisbee,0
2020-02-01,double disc court + ddc frisbee + escape frisbee,0
2020-03-01,double disc court + ddc frisbee + escape frisbee,0
2020-04-01,double disc court + ddc frisbee + escape frisbee,0
2020-05-01,double disc court + ddc frisbee + escape frisbee,45
2020-06-01,double disc court + ddc frisbee + escape frisbee,36
2020-07-01,double disc court + ddc frisbee + escape frisbee,35
2020-08-01,double disc court + ddc frisbee + escape frisbee,0
2020-09-01,double disc court + ddc frisbee + escape frisbee,33
2020-10-01,double disc court + ddc frisbee + escape frisbee,45
2020-11-01,double disc court + ddc frisbee + escape frisbee,36
2020-12-01,double disc court + ddc frisbee + escape frisbee,0
2021-01-01,double disc court + ddc frisbee + escape frisbee,0
2021-02-01,double disc court + ddc frisbee + escape frisbee,0
2021-03-01,double disc court + ddc frisbee + escape frisbee,30
2021-04-01,double disc court + ddc frisbee + escape frisbee,44
2021-05-01,double disc court + ddc frisbee + escape frisbee,43
2021-06-01,double disc court + ddc frisbee + escape frisbee,39
2021-07-01,double disc court + ddc frisbee + escape frisbee,0
2021-08-01,double disc court + ddc frisbee + escape frisbee,0
2021-09-01,double disc court + ddc frisbee + escape frisbee,0
2021-10-01,double disc court + ddc frisbee + escape frisbee,35
2021-11-01,double disc court + ddc frisbee + escape frisbee,0
2021-12-01,double disc court + ddc frisbee + escape frisbee,0
2022-01-01,double disc court + ddc frisbee + escape frisbee,0
2022-02-01,double disc court + ddc frisbee + escape frisbee,0
2022-03-01,double disc court + ddc frisbee + escape frisbee,25
2022-04-01,double disc court + ddc frisbee + escape frisbee,40
2022-05-01,double disc court + ddc frisbee + escape frisbee,91
2022-06-01,double disc court + ddc frisbee + escape frisbee,47
2022-07-01,double disc court + ddc frisbee + escape frisbee,0
2022-08-01,double disc court + ddc frisbee + escape frisbee,28
2022-09-01,double disc court + ddc frisbee + escape frisbee,0
2022-10-01,double disc court + ddc frisbee + escape frisbee,0
2022-11-01,double disc court + ddc frisbee + escape frisbee,0
2022-12-01,double disc court + ddc frisbee + escape frisbee,29
2023-01-01,double disc court + ddc frisbee + escape frisbee,0
2023-02-01,double disc court + ddc frisbee + escape frisbee,32
2023-03-01,double disc court + ddc frisbee + escape frisbee,0
2023-04-01,double disc court + ddc frisbee + escape frisbee,0
2023-05-01,double disc court + ddc frisbee + escape frisbee,50
2023-06-01,double disc court + ddc frisbee + escape frisbee,41
2023-07-01,double disc court + ddc frisbee + escape frisbee,37
2023-08-01,double disc court + ddc frisbee + escape frisbee,38
2023-09-01,double disc court + ddc frisbee + escape frisbee,0
2023-10-01,double disc court + ddc frisbee + escape frisbee,34
2023-11-01,double disc court + ddc frisbee + escape frisbee,0
2023-12-01,double disc court + ddc frisbee + escape frisbee,0
2024-01-01,double disc court + ddc frisbee + escape frisbee,0
2024-02-01,double disc court + ddc frisbee + escape frisbee,0
2024-03-01,double disc court + ddc frisbee + escape frisbee,0
2024-04-01,double disc court + ddc frisbee + escape frisbee,46
2024-05-01,double disc court + ddc frisbee + escape frisbee,0
2024-06-01,double disc court + ddc frisbee + escape frisbee,0
2024-07-01,double disc court + ddc frisbee + escape frisbee,0
2024-08-01,double disc court + ddc frisbee + escape frisbee,48
2024-09-01,double disc court + ddc frisbee + escape frisbee,0
2024-10-01,double disc court + ddc frisbee + escape frisbee,0
2024-11-01,double disc court + ddc frisbee + escape frisbee,0
2024-12-01,double disc court + ddc frisbee + escape frisbee,0
2025-01-01,double disc court + ddc frisbee + escape frisbee,0
2025-02-01,double disc court + ddc frisbee + escape frisbee,0
2025-03-01,double disc court + ddc frisbee + escape frisbee,0
2025-04-01,double disc court + ddc frisbee + escape frisbee,0
2025-05-01,double disc court + ddc frisbee + escape frisbee,37
2025-06-01,double disc court + ddc frisbee + escape frisbee,0
2025-07-01,double disc court + ddc frisbee + escape frisbee,0
2025-08-01,double disc court + ddc frisbee + escape frisbee,54
2025-09-01,double disc court + ddc frisbee + escape frisbee,70
2025-10-01,double disc court + ddc frisbee + escape frisbee,73
2025-11-01,double disc court + ddc frisbee + escape frisbee,80
2025-12-01,double disc court + ddc frisbee + escape frisbee,76
2026-01-01,double disc court + ddc frisbee + escape frisbee,42
2026-02-01,double disc court + ddc frisbee + escape frisbee,100
2026-03-01,double disc court + ddc frisbee + escape frisbee,20
