period,keyword,avg_hits,pct_zero,max_hit,n_obs
2015-01-01,beach ultimate,28,0,41,10
2016-01-01,beach ultimate,23.166666666666668,0,29,12
2017-01-01,beach ultimate,23.416666666666668,0,38,12
2018-01-01,beach ultimate,21.083333333333332,0,30,12
2019-01-01,beach ultimate,18.666666666666668,0,24,12
2020-01-01,beach ultimate,16.416666666666668,0,21,12
2021-01-01,beach ultimate,15.666666666666666,0,21,12
2022-01-01,beach ultimate,16.166666666666668,0,21,12
2023-01-01,beach ultimate,15.75,0,20,12
2024-01-01,beach ultimate,17,0,21,12
2025-01-01,beach ultimate,46.66666666666667,0,100,12
2026-01-01,beach ultimate,65,0,85,3
