activity,chosen_term,GT_relative,GT_visibility,GT_score,GT_confidence,GT_note,mean_hits,pct_zero,pct_lt1,max_hits,bridge_steps,group_id,query
Disc Golf,disc golf,1,2.305906845048666,5,Medium,Stable enough for relative comparison,63.958762886597945,0,0,100,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee
Canine Disc (Disc Dog),disc dog,0.1856513574948114,1.8192449718139132,4,Medium,Stable enough for relative comparison,20.855670103092777,0,0,100,1,g7,freestyle frisbee | disc dog | canine disc | self caught flight frisbee
Ultimate,ultimate frisbee,0.14780786589297226,1.4756435385213702,4,Medium,Stable enough for relative comparison,9.45360824742268,0,0,16,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee
Beach Ultimate,beach ultimate,0.034778321386581705,1.6442361149234106,3,Medium,Stable enough for relative comparison,13.938144329896906,0,0,66,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Discflect / KanJam,kanjam,0.012975499677627334,0.4195471424309857,2,Medium,Stable enough for relative comparison,0.8298969072164948,0,0.38144329896907214,2,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee
Polish Horseshoes / BeersBee,beersbee,0.008213034358215838,1.7990925310741395,2,Low,Stable enough for relative comparison,22.154639175257735,0.09278350515463918,0,100,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee
Distance,distance frisbee,0.007656350741457123,0.18049856774018896,2,Medium,Stable enough for relative comparison,0.4896907216494845,0.020618556701030927,0.979381443298969,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon
Freestyle,freestyle frisbee,0.006286266924564797,0.007433555694072724,2,Medium,Stable enough for relative comparison,0.4020618556701031,0.1958762886597938,0.8041237113402062,0.5,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee
DodgeDisc,dodgebee,9.646353934887675e-4,-0.09203091301050903,1,Medium,Stable enough for relative comparison,0.3865979381443298,0.36082474226804123,0.5051546391752577,1,1,g9,dodgedisc | dodgebee | ultimate frisbee
Goaltimate,goaltimate,6.559520675723623e-4,-0.38786101633675374,1,Medium,Stable enough for relative comparison,0.2628865979381444,0.6185567010309279,0.23711340206185566,1,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Frisbee H-O-R-S-E,frisbee horse,4.516883155358783e-4,0.3906312056224298,1,Medium,Stable enough for relative comparison,1.5463917525773192,0.5979381443298969,0,7,1,g5,kanjam | discflect | frisbee horse | accuracy frisbee
Guts,guts frisbee,3.3440693640943956e-4,-0.7613524840715657,1,Medium,Sparse search signal,0.13402061855670105,0.7835051546391752,0.16494845360824742,1,1,g3,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee
Speed Lid Golf,speed lid golf,2.4177949709864655e-4,-1.7680029006019877,1,Medium,Extremely intermittent search signal,0.015463917525773231,0.9690721649484536,0.030927835051546393,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon
Discathon,discathon,1.6118633139909725e-4,-1.9362558283410185,0,Medium,Extremely intermittent search signal,0.010309278350515459,0.979381443298969,0.020618556701030927,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon
Double Disc Court (DDC),double disc court,1.414798577116861e-4,-1.192424674782195,0,Medium,Sparse search signal,0.05670103092783511,0.9072164948453608,0.07216494845360824,1,1,g3,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee
Hot Box,hot box frisbee,2.5723610493033812e-5,-1.9362558283410183,0,Medium,Extremely intermittent search signal,0.010309278350515465,0.979381443298969,0.020618556701030927,0.5,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Accuracy,accuracy frisbee,1.2045021747623441e-5,-1.3639964919625864,0,Medium,Extremely intermittent search signal,0.04123711340206191,0.979381443298969,0,3,1,g5,kanjam | discflect | frisbee horse | accuracy frisbee
Battle Royale,battle royale frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee
Flutter Guts,flutter guts frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee
Overall,overall flying disc,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,1,g10,overall flying disc | freestyle frisbee | self caught flight frisbee
"Self-Caught Flight (MTA, TRC)",self caught flight frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,1,g7,freestyle frisbee | disc dog | canine disc | self caught flight frisbee
World War Free,world war free frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,2,g8,hot box frisbee | world war free frisbee | goaltimate | battle royale frisbee
Frisbee Hoops,frisbee hoops,NA,NA,NA,NA,No reliable Google Trends signal with current search phrase/grouping,NA,NA,NA,NA,NA,NA,NA
