activity,chosen_query,GT_relative,GT_visibility,GT_score,GT_confidence,GT_note,mean_hits,pct_zero,pct_lt1,max_hits,bridge_steps,group_id,query
Disc Golf,disc golf,1,2.2540394845137643,5,Medium,Stable enough for relative comparison,56.7586206896552,0,0,100,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Ultimate,ultimate frisbee,0.14533549345213978,1.416456167162301,4,Medium,Stable enough for relative comparison,8.249042145593869,0,0,14,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Canine Disc,disc dog + canine disc,0.13058111053250784,1.650769492664301,4,Medium,Stable enough for relative comparison,14.14942528735631,0,0,100,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
Beach Ultimate,beach ultimate,0.037555901013958365,1.690735263306797,3,Medium,Stable enough for relative comparison,15.513409961685815,0,0,76,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Discflect / KanJam,kanjam + discflect,0.013129472120966646,0.36136723555196404,2,Medium,Stable enough for relative comparison,0.7452107279693486,0.022988505747126436,0.48659003831417624,3,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Self-Caught Flight,mta frisbee + trc frisbee + throw run catch,0.004296129144245795,-0.12040433177026516,2,Medium,Stable enough for relative comparison,0.46551724137931055,0.578544061302682,0.0038314176245210726,3,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
BeersBee,beersbee + polish horseshoes frisbee,0.002725684665018074,1.3771265438711375,2,Low,Stable enough for relative comparison,14.475095785440597,0.5670498084291188,0,100,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee + polish horseshoes frisbee
Distance,distance frisbee,0.0013838261104360732,-1.0208481775902793,1,Medium,Sparse search signal,0.07854406130268199,0.842911877394636,0.15708812260536398,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon frisbee + discathon disc
Freestyle,freestyle frisbee,3.7127041987309353e-4,-1.6350698351768878,1,Medium,Extremely intermittent search signal,0.02107279693486594,0.9578544061302682,0.0421455938697318,0.5,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Double Disc Court,double disc court + ddc frisbee + escape frisbee,1.2522524646437841e-4,-1.2626648419885531,0,Medium,Extremely intermittent search signal,0.05172413793103433,0.9693486590038314,0.0038314176245210726,3,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
DodgeDisc,dodgedisc + dodgebee,1.2058727437310554e-4,-1.2729914353462282,0,Medium,Extremely intermittent search signal,0.049808429118773964,0.9578544061302682,0.007662835249042145,2,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
Speed Lid Golf,speed lid golf,1.0125556905629761e-4,-2.165134024934224,0,Medium,Extremely intermittent search signal,0.005747126436781585,0.9885057471264368,0.011494252873563218,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon frisbee + discathon disc
Goaltimate,goaltimate,9.739119798630872e-5,-1.371377914256827,0,Medium,Extremely intermittent search signal,0.04022988505747136,0.9731800766283525,0.0038314176245210726,2,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Overall,overall flying disc + overall frisbee,8.839771901740306e-5,-1.9698269742622365,0,Medium,Extremely intermittent search signal,0.009578544061302673,0.9885057471264368,0.0038314176245210726,1,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
Frisbee H-O-R-S-E,frisbee horse,8.181746732983967e-5,-0.9597954395375153,0,Medium,Extremely intermittent search signal,0.10536398467432945,0.9731800766283525,0.0038314176245210726,7,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
Frisbee Hoops,frisbee hoops,4.314011913755193e-5,-1.2417776006657837,0,Medium,Extremely intermittent search signal,0.05555555555555566,0.9885057471264368,0.0038314176245210726,7,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
Accuracy,accuracy frisbee,3.867734819228788e-5,-1.2883171058443124,0,Medium,Extremely intermittent search signal,0.049808429118773964,0.9885057471264368,0,7,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
Guts,guts frisbee,3.246580463891301e-5,-1.8336743386668397,0,Medium,Extremely intermittent search signal,0.013409961685823753,0.9846743295019157,0.0038314176245210726,1,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
