activity,chosen_query,GT_relative,GT_visibility,GT_score,GT_confidence,GT_note,mean_hits,pct_zero,pct_lt1,max_hits,bridge_steps,group_id,query
Disc Golf,disc golf,1,2.242924778259227,5,Medium,Stable enough for relative comparison,55.32442748091603,0,0,100,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Ultimate,ultimate frisbee,0.10258709899965504,1.2540861904041747,4,Medium,Stable enough for relative comparison,5.6755725190839685,0,0,10,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Canine Disc,disc dog + canine disc,0.090238013107968,1.374455702324418,3,Medium,Stable enough for relative comparison,7.488549618320603,0,0,100,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
Beach Ultimate,beach ultimate,0.02611164108745557,1.5033457338487501,3,Medium,Stable enough for relative comparison,10.07633587786259,0,0,100,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Discflect / KanJam,kanjam + discflect,0.009865470852017933,0.1080587261191398,2,Medium,Stable enough for relative comparison,0.545801526717557,0.2595419847328244,0.4198473282442748,3,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Self-Caught Flight,mta frisbee + trc frisbee + throw run catch,4.369322754972966e-4,-1.4115869154801595,1,Medium,Extremely intermittent search signal,0.03625954198473278,0.9656488549618321,0.003816793893129771,2,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
Distance,distance frisbee,3.7944118661607486e-4,-1.636735670963137,1,Medium,Extremely intermittent search signal,0.020992366412213758,0.9580152671755725,0.04198473282442748,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon frisbee + discathon disc
Speed Lid Golf,speed lid golf,2.0696791997240355e-4,-1.8933669529361004,1,Medium,Extremely intermittent search signal,0.011450381679389273,0.9770992366412213,0.022900763358778626,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon frisbee + discathon disc
Goaltimate,goaltimate,2.0276084935334814e-4,-1.080039738200912,1,Medium,Extremely intermittent search signal,0.07824427480916026,0.9580152671755725,0.003816793893129771,2,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
Discathon,discathon frisbee + discathon disc,1.0348395998620176e-4,-2.166570196404023,0,Medium,Extremely intermittent search signal,0.005725190839694636,0.9885496183206107,0.011450381679389313,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon frisbee + discathon disc
Frisbee H-O-R-S-E,frisbee horse,9.716484752479898e-5,-0.9297700765990985,0,Medium,Extremely intermittent search signal,0.114503816793893,0.9847328244274809,0,13,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
Double Disc Court,double disc court + ddc frisbee + escape frisbee,9.465695007144729e-5,-1.2681693561299816,0,Medium,Extremely intermittent search signal,0.051526717557251994,0.9770992366412213,0.003816793893129771,4,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
Overall,overall flying disc + overall frisbee,9.198574220995718e-5,-2.0599918968371793,0,Medium,Extremely intermittent search signal,0.007633587786259533,0.9923664122137404,0,1,1,g7,mta frisbee + trc frisbee + throw run catch | freestyle frisbee | disc dog + canine disc | overall flying disc + overall frisbee
Freestyle,freestyle frisbee,6.8989306657468e-5,-2.3134251425185006,0,Medium,Extremely intermittent search signal,0.0038167938931297656,0.9923664122137404,0.007633587786259542,0.5,0,g1,ultimate frisbee | kanjam + discflect | disc golf | freestyle frisbee
Accuracy,accuracy frisbee,4.858242376239958e-5,-1.2308730482081829,0,Medium,Extremely intermittent search signal,0.057251908396946605,0.9923664122137404,0,8,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
Frisbee Hoops,frisbee hoops,2.26717977557865e-5,-1.5553366497963061,0,Medium,Extremely intermittent search signal,0.026717557251908452,0.9961832061068703,0,7,1,g5,kanjam + discflect | frisbee hoops | frisbee horse | accuracy frisbee
DodgeDisc,dodgedisc + dodgebee,2.103487779365489e-5,-1.9029089376689243,0,Medium,Extremely intermittent search signal,0.011450381679389297,0.9961832061068703,0,3,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
Battle Royale,battle royale frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,2,g8,goaltimate | hot box frisbee | world war frisbee | battle royale frisbee
Guts,guts frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,1,g3,ultimate frisbee | double disc court + ddc frisbee + escape frisbee | guts frisbee | dodgedisc + dodgebee
Hot Box,hot box frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee
World War Free,world war frisbee,0,-3,0,Low,Extremely intermittent search signal,0,1,0,0,2,g8,goaltimate | hot box frisbee | world war frisbee | battle royale frisbee
BeersBee,beersbee + polish horseshoes frisbee,NA,NA,NA,Insufficient signal,No reliable Google Trends signal with current OR query/grouping,NA,NA,NA,NA,NA,NA,NA
Flutter Guts,flutter guts frisbee,NA,NA,NA,Insufficient signal,No reliable Google Trends signal with current OR query/grouping,NA,NA,NA,NA,NA,NA,NA
