activity,term,GT_relative,GT_visibility,GT_score,GT_confidence,mean_hits,pct_zero,pct_lt1,max_hits,bridge_steps,group_id,query,GT_note
Disc Golf,disc golf,1,2.257135912974532,5,Medium,57.16475095785443,0,0,100,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,Stable enough for relative comparison
Ultimate,ultimate frisbee,0.14504021447721177,1.4186691261871491,4,Medium,8.291187739463604,0,0,14,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,Stable enough for relative comparison
Canine Disc (Disc Dog),disc dog,0.13015319800842565,1.6852306334093035,4,Medium,15.318007662835237,0,0,100,1,g7,freestyle frisbee | disc dog | self caught flight frisbee | overall flying disc,Stable enough for relative comparison
Beach Ultimate,beach ultimate,0.037428545578108194,1.69276830004509,3,Medium,15.586206896551724,0,0,75,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,Stable enough for relative comparison
Discflect / KanJam,kanjam,0.013203753351206429,0.3764850142662788,2,Medium,0.7547892720306514,0.0038314176245210726,0.5057471264367817,3,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,Stable enough for relative comparison
Polish Horseshoes / BeersBee,beersbee,0.00418988121954769,1.3805799523252382,2,Low,14.655172413793098,0.5708812260536399,0,100,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,Stable enough for relative comparison
Distance,distance frisbee,0.0013404825737265407,-1.0333512782972294,1,Medium,0.07662835249042144,0.8467432950191571,0.1532567049808429,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon,Sparse search signal
Freestyle,freestyle frisbee,5.697050938337796e-4,-1.441519777195642,1,Medium,0.0325670498084291,0.9348659003831418,0.06513409961685823,0.5,0,g1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,Sparse search signal
Goaltimate,goaltimate,1.3341049923366993e-4,-1.2264519301677,0,Medium,0.05555555555555561,0.9578544061302682,0.0038314176245210726,2,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,Extremely intermittent search signal
Double Disc Court (DDC - Classic or Escape),double disc court,6.900980832196202e-5,-1.5133128622162517,0,Medium,0.02873563218390803,0.9731800766283525,0.011494252873563218,2,1,g3,ultimate frisbee | guts frisbee | double disc court | dodgedisc,Extremely intermittent search signal
Discathon,discathon,6.702412868632698e-5,-2.3120940031406785,0,Medium,0.0038314176245210683,0.9923371647509579,0.007662835249042145,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon,Extremely intermittent search signal
Speed Lid Golf,speed lid golf,6.702412868632687e-5,-2.3120940031406794,0,Medium,0.003831417624521062,0.9923371647509579,0.007662835249042145,0.5,0,g6,disc golf | speed lid golf | distance frisbee | discathon,Extremely intermittent search signal
Overall,overall flying disc,6.510915358100335e-5,-2.0585085273684003,0,Medium,0.007662835249042142,0.9923371647509579,0,1,1,g7,freestyle frisbee | disc dog | self caught flight frisbee | overall flying disc,Extremely intermittent search signal
Frisbee H-O-R-S-E,frisbee horse,4.93001992028353e-5,-1.169996010721575,0,Medium,0.06513409961685815,0.9808429118773946,0,7,1,g5,kanjam | frisbee horse | frisbee hoops | accuracy frisbee,Extremely intermittent search signal
"Self-Caught Flight (MTA, TRC)",self caught flight frisbee,3.255457679050177e-5,-2.314009711952938,0,Medium,0.003831417624521082,0.9961685823754789,0,1,1,g7,freestyle frisbee | disc dog | self caught flight frisbee | overall flying disc,Extremely intermittent search signal
Frisbee Hoops,frisbee hoops,2.9000117178138466e-5,-1.3997036932915077,0,Medium,0.03831417624521075,0.9885057471264368,0,5,1,g5,kanjam | frisbee horse | frisbee hoops | accuracy frisbee,Extremely intermittent search signal
Guts,guts frisbee,2.3003269440654006e-5,-1.9717426830744968,0,Medium,0.009578544061302676,0.9923371647509579,0.0038314176245210726,2,1,g3,ultimate frisbee | guts frisbee | double disc court | dodgedisc,Extremely intermittent search signal
Hot Box,hot box frisbee,4.600362042540325e-6,-2.533340141755448,0,Medium,0.0019157088122605309,0.9961685823754789,0.0038314176245210726,0.5,1,g2,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,Extremely intermittent search signal
Accuracy,accuracy frisbee,2.9000117178138363e-6,-2.3140097119529397,0,Medium,0.0038314176245210618,0.9961685823754789,0,1,1,g5,kanjam | frisbee horse | frisbee hoops | accuracy frisbee,Extremely intermittent search signal
World War,world war frisbee,2.5721818618316825e-6,-1.229226097362743,0,Low,0.057471264367816056,0.9923371647509579,0,10,2,g8,hot box frisbee | world war frisbee | goaltimate | battle royale frisbee,Extremely intermittent search signal
Battle Royale,battle royale frisbee,0,-3,0,Low,0,1,0,0,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,Extremely intermittent search signal
DodgeDisc,dodgedisc,0,-3,0,Low,0,1,0,0,1,g3,ultimate frisbee | guts frisbee | double disc court | dodgedisc,Extremely intermittent search signal
Flutter Guts,flutter guts frisbee,0,-3,0,Low,0,1,0,0,2,g4,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,Extremely intermittent search signal
