activity,YT_relative,total_views,group
Hot Box,518.11493266535,1231717220,Group 1: Dominant
Accuracy,129.68038472135464,308289827,Group 1: Dominant
World War Free,89.4548583374872,212661482,Group 2: High
Distance,81.41183525042013,193540763,Group 2: High
Ultimate,80.17788882789546,190607296,Group 2: High
Overall,68.76513236627189,163475693,Group 2: High
Freestyle,58.89165504636553,140003426,Group 2: High
Speed Lid Golf,57.71558802930209,137207556,Group 2: High
Battle Royale,48.117168390257035,114389185,Group 2: High
Frisbee H-O-R-S-E,45.465578880286714,108085548,Group 2: High
Double Disc Court,24.70476400798383,58730759,Group 3: Moderate
Frisbee Hoops,9.840818489844592,23394627,Group 3: Moderate
Discflect / KanJam,9.505275511556153,22596939,Group 3: Moderate
Flutter Guts,6.271522585448649,14909322,Group 3: Moderate
Canine Disc,3.3639915786994097,7997234,Group 4: Below anchor
Beach Ultimate,1.7544656659536744,4170900,Group 4: Below anchor
Disc Golf,1,2377305,Group 4: Below anchor
BeersBee,0.2004635501124172,476563,Group 4: Below anchor
Guts,0.07357785391441149,174917,Group 5: Low
Goaltimate,0.05373647891204536,127748,Group 5: Low
Discathon,0.05143765734729031,122283,Group 5: Low
DodgeDisc,0.0410460584569502,97579,Group 5: Low
Self-Caught Flight,0.028997541333568893,68936,Group 5: Low
