activity,YT_relative,total_views,group
Hot Box,264.4959304747113,1726670960,Group 1: Dominant
Overall,52.48190936584399,342610144,Group 2: High
Accuracy,48.14595650809256,314304363,Group 2: High
World War Free,45.33716100884216,295968105,Group 2: High
Ultimate,30.314945244117137,197900722,Group 2: High
Frisbee Hoops,30.000036304273934,195844947,Group 2: High
Distance,29.648947474762018,193552984,Group 2: High
Battle Royale,28.809675226867245,188074083,Group 2: High
Guts,21.206045442840914,138436394,Group 2: High
Speed Lid Golf,18.676250892863024,121921498,Group 2: High
Double Disc Court,10.30490856760951,67272061,Group 3: Moderate
Flutter Guts,7.01236597097772,45777826,Group 3: Moderate
Disc Golf,1,6528157,Group 4: Below anchor
Canine Disc,0.933396975593571,6093362,Group 4: Below anchor
Beach Ultimate,0.7616189377798359,4971968,Group 4: Below anchor
Self-Caught Flight,0.4955027889188327,3234720,Group 4: Below anchor
Discflect / KanJam,0.402689304194124,2628819,Group 4: Below anchor
Freestyle,0.24520427434573036,1600732,Group 4: Below anchor
Frisbee H-O-R-S-E,0.17926116053887797,1170245,Group 4: Below anchor
Goaltimate,0.015862976334668422,103556,Group 5: Low
DodgeDisc,0.010230146119341187,66784,Group 5: Low
Discathon,0.0049340112377811995,32210,Group 5: Low
BeersBee,0.002782102207407083,18162,Group 5: Low
