activity,median_views,YT_relative,group
Ultimate,178874,1.5806197919888307,Group 1: Dominant
Disc Golf,113167,1,Group 1: Dominant
Beach Ultimate,9285,0.0820468864598337,Group 2: High
Canine Disc,9087,0.0802972598018857,Group 2: High
Frisbee Hoops,8485,0.07497768784186203,Group 2: High
Discflect / KanJam,6725,0.05942545088232435,Group 2: High
DodgeDisc,2133,0.018848250815166966,Group 3: Moderate
Goaltimate,1664,0.014703933125381074,Group 3: Moderate
Double Disc Court,1022,0.00903090123445881,Group 3: Moderate
Self-Caught Flight,942,0.008323981372661642,Group 4: Low
Freestyle,926,0.008182597400302208,Group 4: Low
Guts,802,0.0070868716145166,Group 4: Low
Frisbee H-O-R-S-E,702,0.006203221787270141,Group 4: Low
BeersBee,370,0.0032695043608118976,Group 4: Low
Discathon,104,9.189958203363171e-4,Group 5: Very Low
