activity,YT_relative,median_views,group
World War Free,37.27429374287557,4218220,Group 1: Dominant
Battle Royale,28.07565809820884,3177238,Group 1: Dominant
Hot Box,22.159666687285164,2507743,Group 1: Dominant
Overall,3.08167575353239,348744,Group 2: High
Accuracy,2.11415872118197,239253,Group 2: High
Speed Lid Golf,2.0349836966606873,230293,Group 2: High
Flutter Guts,1.6400629158677,185601,Group 2: High
Ultimate,1.5806197919888307,178874,Group 2: High
Distance,1.219339560119116,137989,Group 2: High
Disc Golf,1,113167,Group 2: High
Beach Ultimate,0.0820468864598337,9285,Group 3: Moderate
Canine Disc,0.0802972598018857,9087,Group 3: Moderate
Frisbee Hoops,0.07497768784186203,8485,Group 3: Moderate
Discflect / KanJam,0.05942545088232435,6725,Group 3: Moderate
DodgeDisc,0.018848250815166966,2133,Group 4: Below anchor
Goaltimate,0.014703933125381074,1664,Group 4: Below anchor
Double Disc Court,0.00903090123445881,1022,Group 4: Below anchor
Self-Caught Flight,0.008323981372661642,942,Group 4: Below anchor
Freestyle,0.008182597400302208,926,Group 4: Below anchor
Guts,0.0070868716145166,802,Group 4: Below anchor
Frisbee H-O-R-S-E,0.006203221787270141,702,Group 4: Below anchor
BeersBee,0.0032695043608118976,370,Group 5: Low
Discathon,9.189958203363171e-4,104,Group 5: Low
