activity,query,n_videos,total_views,median_views,mean_views,max_views,n_channels,YT_relative,YT_log_index,YT_score,YT_confidence,YT_visibility
Hot Box,hot box frisbee,25,1231717220,2758,49268688.80000002,1172136506,25,518.11493266535,9.090511013465116,5,High,10.092196273381994
Accuracy,accuracy frisbee,25,308289827,137993,12331593.079999996,300973944,18,129.68038472135464,8.488959195448697,5,High,9.915421581151268
World War Free,world war frisbee,25,212661482,2046492,8506459.28,58028449,24,89.4548583374872,8.327688838114668,5,High,10.046938738783192
Distance,distance frisbee,25,193540763,137989,7741630.52,188035150,20,81.41183525042013,8.286772451090046,5,High,9.713231689548707
Ultimate,ultimate frisbee,25,190607296,227977,7624291.839999997,138328249,12,80.17788882789546,8.280139522672577,5,High,9.761110092312324
Overall,overall flying disc | overall frisbee,25,163475693,419112,6539027.720000001,138328249,22,68.76513236627189,8.213453189740143,5,High,9.760533307522293
Freestyle,freestyle frisbee,25,140003426,3869,5600137.039999999,138328249,18,58.89165504636553,8.146138666456622,5,High,9.184563742508432
Speed Lid Golf,speed lid golf,25,137207556,349589,5488302.24,110298037,17,57.71558802930209,8.137378031728003,5,High,9.664765116818499
Battle Royale,battle royale frisbee,25,114389185,280523,4575567.400000001,39107997,23,48.117168390257035,8.058384969539919,5,High,9.561874810059185
Frisbee H-O-R-S-E,frisbee horse,25,108085548,243,4323421.919999998,69902589,17,45.465578880286714,8.03376763281466,5,High,8.772112424196424
Double Disc Court,double disc court | ddc frisbee | escape frisbee,25,58730759,569,2349230.36,43653198,8,24.70476400798383,7.768865620827133,5,Medium,8.599331669542337
Frisbee Hoops,frisbee hoops,25,23394627,994,935785.0799999998,9123304,24,9.840818489844592,7.369116143829044,5,High,8.260069248812558
Discflect / KanJam,kanjam | discflect,25,22596939,12221,903877.5599999997,12861257,17,9.505275511556153,7.3540496324619635,5,High,8.517332537104997
Flutter Guts,flutter guts frisbee,25,14909322,5430,596372.8800000001,6951873,22,6.271522585448649,7.173457923530829,5,High,8.248675209026068
Canine Disc,disc dog | canine disc,25,7997234,13489,319889.36000000004,3385399,18,3.3639915786994097,6.902939858015977,5,High,8.076940180231034
Beach Ultimate,beach ultimate,25,4170900,12264,166836,3759486,8,1.7544656659536744,6.620229881607047,5,Medium,7.78389410453973
Disc Golf,disc golf,25,2377305,90401,95092.2,236851,11,1,6.376085086464496,5,High,7.756626930925097
BeersBee,beersbee | polish horseshoes frisbee,25,476563,2395,19062.520000000004,272478,17,0.2004635501124172,5.678121232320428,4,High,6.664490270546828
Guts,guts frisbee,25,174917,1200,6996.68,47391,6,0.07357785391441149,5.242834503008919,3,Medium,6.154217589656728
Goaltimate,goaltimate,25,127748,2121,5109.920000000001,30886,8,0.05373647891204536,5.106357509228029,3,Medium,6.079541188916441
Discathon,discathon frisbee | discathon disc,25,122283,1012,4891.32,74153,13,0.05143765734729031,5.087369636379821,3,High,5.980269332516973
DodgeDisc,dodgedisc | dodgebee,25,97579,2240,3903.16,16879,13,0.0410460584569502,4.989360813776248,3,High,5.9684686127070945
Self-Caught Flight,mta frisbee | trc frisbee | throw run catch,25,68936,926,2757.44,15987,8,0.028997541333568893,4.838452379858196,3,Medium,5.721719648191402
