activity,query,n_videos,total_views,median_views,mean_views,max_views,n_channels,YT_relative,YT_log_index,YT_score,YT_confidence,YT_visibility
Hot Box,hot box frisbee,25,1726670960,2507743,69066838.4,1172136520,25,264.4959304747113,9.237209585143109,5,High,10.978527719939391
Overall,overall flying disc | overall frisbee,25,342610144,348744,13704405.760000002,188035244,21,52.48190936584399,8.53480021867703,5,High,10.061924550922322
Accuracy,accuracy frisbee,25,314304363,239253,12572174.519999998,300973943,18,48.14595650809256,8.497350411077909,5,High,9.983562547704981
World War Free,world war frisbee,25,295968105,4218220,11838724.2,41456074,23,45.33716100884216,8.47124491330724,5,High,10.269024580466699
Ultimate,ultimate frisbee,25,197900722,178874,7916028.880000002,138328286,11,30.314945244117137,8.296447380837709,5,High,9.751082127326749
Frisbee Hoops,frisbee hoops,25,195844947,8485,7833797.88,104264916,21,30.000036304273934,8.291912373004022,5,High,9.415585464658752
Distance,distance frisbee,25,193552984,137989,7742119.359999999,188035244,21,29.648947474762018,8.286799873454157,5,High,9.713259111912818
Battle Royale,battle royale frisbee,25,188074083,3177238,7522963.32,39107998,24,28.809675226867245,8.274328955299339,5,High,10.041338761294329
Guts,guts frisbee,25,138436394,802,5537455.759999999,138328286,4,21.206045442840914,8.141250281376264,5,Medium,9.008926502493017
Speed Lid Golf,speed lid golf,25,121921498,230293,4876859.919999999,65290025,20,18.676250892863024,8.086080293590557,5,High,9.568148284176095
Double Disc Court,double disc court | ddc frisbee | escape frisbee,25,67272061,1022,2690882.44,43653198,11,10.30490856760951,7.82783473973122,5,High,8.721800982956342
Flutter Guts,flutter guts frisbee,25,45777826,185601,1831113.0400000003,28161663,20,7.01236597097772,7.660655173565538,5,High,9.119298171301386
Disc Golf,disc golf,25,6528157,113167,261126.28,4218220,13,1,6.814790657035289,5,High,8.219718902016963
Canine Disc,disc dog | canine disc,25,6093362,9087,243734.48,3385412,15,0.933396975593571,6.784857051126443,5,High,7.915971465515261
Beach Ultimate,beach ultimate,25,4971968,9285,198878.71999999994,3759486,9,0.7616189377798359,6.696528412171757,5,Medium,7.829982916801377
Self-Caught Flight,mta frisbee | trc frisbee | throw run catch,25,3234720,942,129388.79999999999,1822753,13,0.4955027889188327,6.50983682800757,4,High,7.394962085988984
Discflect / KanJam,kanjam | discflect,25,2628819,6725,105152.76000000001,2206739,21,0.402689304194124,6.4197608502056385,4,High,7.518197400747375
Freestyle,freestyle frisbee,25,1600732,926,64029.27999999999,693490,14,0.24520427434573036,6.2043188982548205,4,High,7.087586166588027
Frisbee H-O-R-S-E,frisbee horse,25,1170245,702,46809.8,506426,24,0.17926116053887797,6.068277165346673,4,High,6.921513331398711
Goaltimate,goaltimate,25,103556,1664,4142.240000000001,30886,9,0.015862976334668422,5.015179460628057,2,Medium,5.962030354885724
DodgeDisc,dodgedisc | dodgebee,25,66784,2133,2671.3599999999997,12251,10,0.010230146119341187,4.8246789303086715,2,High,5.798474868877866
Discathon,discathon frisbee | discathon disc,25,32210,104,1288.4000000000003,13442,16,0.0049340112377811995,4.508004207829329,2,High,5.154798867393896
BeersBee,beersbee | polish horseshoes frisbee,25,18162,370,726.48,2875,21,0.002782102207407083,4.259187582942805,2,High,5.043028395143648
