video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
YgaUxFOPpg4,Ultimate Frisbee Top 10 Plays | 2025 UFA season,UFA Ultimate Frisbee Association,2025-08-29T14:47:29Z,454475,2943,76,Ultimate,ultimate frisbee
vs_emRoUMhE,Want to Throw A Frisbee Better? Use These 3 Tips! Day 13 of #lockedinfortheholidays,Tannon Hedges,2022-12-14T03:03:01Z,47265,1183,15,Ultimate,ultimate frisbee
o8q7auLARMQ,INSANE catch by Pittsburgh’s Tristan Yarter! #highlights #frisbee,Ultiworld - Ultimate Frisbee,2024-11-10T21:22:57Z,138328249,2778770,9193,Ultimate,ultimate frisbee
LucHSgsnAWU,Top 10 Plays | Week 3 | Pro Frisbee,UFA Ultimate Frisbee Association,2026-05-13T02:41:03Z,2629,64,2,Ultimate,ultimate frisbee
QQlyrXdStK0,United States vs. Canada (Mixed Final) | 2025 U-24 World Championships,Ultiworld - Ultimate Frisbee,2025-07-01T22:31:32Z,73859,593,34,Ultimate,ultimate frisbee
YkMMqOUNyKk,How to Play Ultimate Frisbee for Beginners,Excel Ultimate,2017-04-07T14:57:38Z,596918,3086,236,Ultimate,ultimate frisbee
umdGjsdsQQ8,"Some of the greatest ultimate frisbee plays 😳 (via @theaudl, @ultiworld/TT) #shorts",ESPN,2024-07-26T16:39:32Z,1228670,25232,169,Ultimate,ultimate frisbee
BGcyROTjW58,One does not simply layout D the Cardenas Twins,Ultiworld - Ultimate Frisbee,2024-07-05T15:44:48Z,43653198,653206,334,Ultimate,ultimate frisbee
mrIKy1g3o3k,Universe Point: UCSD vs. Western Washington,Ultiworld - Ultimate Frisbee,2026-03-05T14:30:00Z,2519,31,1,Ultimate,ultimate frisbee
fJYJXx1QRpw,"DC Breeze at New York Empire | FULL GAME HIGHLIGHTS | May 10, 2026",UFA Ultimate Frisbee Association,2026-05-11T01:37:00Z,9007,254,29,Ultimate,ultimate frisbee
uIQWBaBPN9U,"Philadelphia Phoenix at Carolina Flyers | FULL GAME HIGHLIGHTS | May 9, 2026",UFA Ultimate Frisbee Association,2026-05-12T22:35:33Z,1475,40,2,Ultimate,ultimate frisbee
KhCADyYDVyQ,How To Play Ultimate Frisbee,UFA Ultimate Frisbee Association,2025-01-09T15:34:41Z,50808,489,13,Ultimate,ultimate frisbee
lab2m7KD0Zs,Some of the best ultimate frisbee catches 😳,ESPN,2022-08-30T02:15:00Z,347694,12250,97,Ultimate,ultimate frisbee
M3Dcet5xx60,How To Throw a Frisbee Like a Pro 🥏🔥,Daily Facts,2025-09-27T01:19:16Z,1666583,33333,64,Ultimate,ultimate frisbee
JCmL4SsVXYY,Most Common Throwing Mistakes in Ultimate Frisbee,Rowan McDonnell,2019-08-15T15:00:02Z,227977,4887,124,Ultimate,ultimate frisbee
xND9UGzTNTk,How to Throw a Frisbee (Forehand Grip) #ultimatefrisbee #frisbee #usaultimate,Kurt Gibson,2024-12-24T17:01:02Z,530723,8054,45,Ultimate,ultimate frisbee
UnNUEvs2Ev0,The Rules of Ultimate Frisbee (Ultimate) - EXPLAINED!,Ninh Ly,2015-05-15T19:00:01Z,1092158,13535,724,Ultimate,ultimate frisbee
c0b_B8gz0Js,United States vs. Belgium (Open Final) | 2025 U-24 World Championships,Ultiworld - Ultimate Frisbee,2025-07-01T22:31:09Z,91554,801,51,Ultimate,ultimate frisbee
tkxBDG6Ga-w,"These ultimate frisbee plays are insane (via @theaudl, ultiworld/IG) #shorts",SportsNation,2023-03-29T19:00:20Z,255502,8337,47,Ultimate,ultimate frisbee
MVzcMzR6EJY,Most Iconic Ultimate Frisbee Plays (2013-2023),UFA Ultimate Frisbee Association,2023-12-04T20:38:22Z,203496,1842,57,Ultimate,ultimate frisbee
jY2CKBrUgfI,🥏🎓 Ultimate frisbee explained!,UFA Ultimate Frisbee Association,2023-01-30T16:32:45Z,202300,7805,102,Ultimate,ultimate frisbee
sJhS3Kd_vUg,Practicing forehand throwing form 💯,UFA Ultimate Frisbee Association,2025-03-24T14:47:27Z,77156,1077,7,Ultimate,ultimate frisbee
UGQ3bvdPYiE,How to throw a flick in ultimate frisbee!!! #shorts #frisbee #ultimatefrisbee,TP3,2023-07-19T19:44:20Z,178867,4845,61,Ultimate,ultimate frisbee
