video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
YgaUxFOPpg4,Ultimate Frisbee Top 10 Plays | 2025 UFA season,UFA Ultimate Frisbee Association,2025-08-29T14:47:29Z,454483,2943,76,Ultimate,ultimate frisbee
o8q7auLARMQ,INSANE catch by Pittsburgh’s Tristan Yarter! #highlights #frisbee,Ultiworld - Ultimate Frisbee,2024-11-10T21:22:57Z,138328286,2778770,9193,Ultimate,ultimate frisbee
LucHSgsnAWU,Top 10 Plays | Week 3 | Pro Frisbee,UFA Ultimate Frisbee Association,2026-05-13T02:41:03Z,2638,65,2,Ultimate,ultimate frisbee
vs_emRoUMhE,Want to Throw A Frisbee Better? Use These 3 Tips! Day 13 of #lockedinfortheholidays,Tannon Hedges,2022-12-14T03:03:01Z,47266,1183,15,Ultimate,ultimate frisbee
QQlyrXdStK0,United States vs. Canada (Mixed Final) | 2025 U-24 World Championships,Ultiworld - Ultimate Frisbee,2025-07-01T22:31:32Z,73859,593,34,Ultimate,ultimate frisbee
BGcyROTjW58,One does not simply layout D the Cardenas Twins,Ultiworld - Ultimate Frisbee,2024-07-05T15:44:48Z,43653198,653206,334,Ultimate,ultimate frisbee
mrIKy1g3o3k,Universe Point: UCSD vs. Western Washington,Ultiworld - Ultimate Frisbee,2026-03-05T14:30:00Z,2519,31,1,Ultimate,ultimate frisbee
umdGjsdsQQ8,"Some of the greatest ultimate frisbee plays 😳 (via @theaudl, @ultiworld/TT) #shorts",ESPN,2024-07-26T16:39:32Z,1228672,25232,169,Ultimate,ultimate frisbee
fJYJXx1QRpw,"DC Breeze at New York Empire | FULL GAME HIGHLIGHTS | May 10, 2026",UFA Ultimate Frisbee Association,2026-05-11T01:37:00Z,9007,254,29,Ultimate,ultimate frisbee
xND9UGzTNTk,How to Throw a Frisbee (Forehand Grip) #ultimatefrisbee #frisbee #usaultimate,Kurt Gibson,2024-12-24T17:01:02Z,530732,8054,45,Ultimate,ultimate frisbee
uIQWBaBPN9U,"Philadelphia Phoenix at Carolina Flyers | FULL GAME HIGHLIGHTS | May 9, 2026",UFA Ultimate Frisbee Association,2026-05-12T22:35:33Z,1478,40,2,Ultimate,ultimate frisbee
c0b_B8gz0Js,United States vs. Belgium (Open Final) | 2025 U-24 World Championships,Ultiworld - Ultimate Frisbee,2025-07-01T22:31:09Z,91554,801,51,Ultimate,ultimate frisbee
TY7WdnObrKw,"LIVE Friday Night Frisbee | Carolina Flyers vs San Diego Growlers | April 24, 2026",UFA Ultimate Frisbee Association,2026-04-25T04:20:56Z,12498,217,3,Ultimate,ultimate frisbee
lab2m7KD0Zs,Some of the best ultimate frisbee catches 😳,ESPN,2022-08-30T02:15:00Z,347714,12250,97,Ultimate,ultimate frisbee
